time,open,high,low,close,Volume,Volume MA
2020-10-08T01:45:00Z,8000,8050,7975,8000,545200,1168525
2020-10-08T02:45:00Z,8000,8000,7950,7975,389100,1163700
2020-10-08T03:45:00Z,7975,8000,7950,7975,814800,1147530
2020-10-08T05:45:00Z,7975,8000,7975,8000,243500,1068715
2020-10-08T06:45:00Z,7975,8000,7950,7975,1447800,1115700
2020-10-08T07:45:00Z,7975,8025,7950,8025,1785200,1188955
2020-10-09T01:45:00Z,8025,8025,7975,8025,540500,1107960
2020-10-09T02:45:00Z,8025,8025,7975,8025,933800,1056660
2020-10-09T03:45:00Z,8000,8025,8000,8000,283400,1027535
2020-10-09T05:45:00Z,8025,8025,8000,8000,135700,968675
2020-10-09T06:45:00Z,8025,8025,7975,8025,991500,987070
2020-10-09T07:45:00Z,8025,8050,8000,8050,1767100,1049795
2020-10-12T01:45:00Z,8100,8100,8000,8025,377600,971940
2020-10-12T02:45:00Z,8025,8025,7975,8000,783300,932645
2020-10-12T03:45:00Z,8000,8000,7975,8000,406500,924325
2020-10-12T05:45:00Z,8000,8025,7975,8000,561900,920715
2020-10-12T06:45:00Z,7975,8000,7950,7975,1999700,990205
2020-10-12T07:45:00Z,7975,7975,7950,7950,2575300,1085790
2020-10-13T01:45:00Z,7950,7975,7925,7950,1244300,1022635
2020-10-13T02:45:00Z,7950,7975,7900,7925,1046600,943640
2020-10-13T03:45:00Z,7950,7950,7900,7925,667700,949765
2020-10-13T05:45:00Z,7925,7950,7900,7950,440000,952310
2020-10-13T06:45:00Z,7950,7975,7925,7950,1073100,965225
2020-10-13T07:45:00Z,7950,7975,7950,7975,1272300,1016665
2020-10-14T01:45:00Z,7975,7975,7950,7950,194000,953975
2020-10-14T02:45:00Z,7975,7975,7900,7925,1258800,927655
2020-10-14T03:45:00Z,7925,7925,7900,7925,1140200,957640
2020-10-14T05:45:00Z,7900,7925,7900,7925,341000,928000
2020-10-14T06:45:00Z,7900,7975,7900,7925,3692600,1098460
2020-10-14T07:45:00Z,7925,7950,7900,7925,2949900,1239170
2020-10-15T01:45:00Z,7925,7950,7900,7925,418000,1210495
2020-10-15T02:45:00Z,7925,7950,7900,7900,716900,1157985
2020-10-15T03:45:00Z,7925,7950,7900,7950,941700,1186190
2020-10-15T05:45:00Z,7925,7975,7925,7975,753300,1184690
2020-10-15T06:45:00Z,7950,7975,7925,7950,1438800,1236305
2020-10-15T07:45:00Z,7950,7950,7925,7925,1968500,1306635
2020-10-16T01:45:00Z,7925,7975,7925,7925,295900,1221445
2020-10-16T02:45:00Z,7925,7950,7900,7925,504700,1117915
2020-10-16T03:45:00Z,7900,7975,7900,7975,870500,1099225
