Date,Open,High,Low,Close,Adj Close,Volume,PnL,% Change
1/2/2015,900.309998,903.559998,899.539978,903.130005,903.130005,0,Profit,0.313226223
1/5/2015,899.820007,900.849976,895.359985,898.27002,898.27002,0,Loss,0.172255227
1/6/2015,889.719971,893.869995,888.200012,888.200012,888.200012,0,Loss,0.170835662
1/7/2015,889.849976,898.119995,889.539978,897.51001,897.51001,0,Profit,0.860823083
1/8/2015,900.359985,902.289978,898,898,898,0,Loss,0.262115714
1/9/2015,901.809998,904.5,898.159973,898.830017,898.830017,0,Loss,0.33044444
1/12/2015,895.309998,899.030029,890.830017,890.830017,890.830017,0,Loss,0.50038322
1/13/2015,893.869995,898.650024,893.719971,897.549988,897.549988,0,Profit,0.411692195
1/14/2015,898.27002,899.320007,886.940002,886.940002,886.940002,0,Loss,1.261315389
1/15/2015,892.190002,894.859985,889.030029,893.690002,893.690002,0,Profit,0.168125623
1/16/2015,891.98999,897.419983,885.440002,886.340027,886.340027,0,Loss,0.633411032
1/19/2015,887.299988,891.210022,884.179993,887.26001,887.26001,0,Loss,0.004505579
1/20/2015,887.840027,890.900024,881.669983,890.900024,890.900024,0,Profit,0.344656347
1/21/2015,893.5,902.830017,890.400024,902.830017,902.830017,0,Profit,1.044210073
1/22/2015,902.919983,912.450012,902.76001,910.780029,910.780029,0,Profit,0.870514126
1/23/2015,917.869995,926.52002,917.869995,926.52002,926.52002,0,Profit,0.942401979
1/26/2015,921.150024,922.830017,901.400024,913.030029,913.030029,0,Loss,0.881506246
1/27/2015,911.619995,916.099976,908.51001,916.099976,916.099976,0,Profit,0.491430752
1/28/2015,914.849976,915.210022,911.049988,911.690002,911.690002,0,Loss,0.345408983
1/29/2015,910.349976,910.929993,907.640015,909.059998,909.059998,0,Loss,0.141701327
1/30/2015,916.059998,916.570007,911.72998,912.049988,912.049988,0,Loss,0.437745345
2/2/2015,908.960022,911.580017,905.169983,908.390015,908.390015,0,Loss,0.062709799
2/3/2015,911.27002,915.609985,910.97998,913.590027,913.590027,0,Profit,0.254590511
2/4/2015,919.590027,925.780029,916.390015,920.349976,920.349976,0,Profit,0.082639978
2/5/2015,918.789978,919.630005,906,910.940002,910.940002,0,Loss,0.854381979
2/6/2015,915.349976,923.890015,914.52002,923.890015,923.890015,1584274800,Profit,0.932980742
2/9/2015,926.289978,926.289978,926.289978,926.289978,926.289978,0,Same,0
2/10/2015,920.909973,920.909973,920.909973,920.909973,920.909973,0,Same,0
2/11/2015,926.169983,926.169983,926.169983,926.169983,926.169983,0,Same,0
2/12/2015,928.929993,928.929993,928.929993,928.929993,928.929993,0,Same,0
2/13/2015,934.130005,937.820007,932.969971,937.820007,937.820007,1104977300,Profit,0.395020177
2/16/2015,926.799988,926.799988,926.799988,926.799988,926.799988,0,Same,0
2/17/2015,929.679993,929.679993,929.679993,929.679993,929.679993,0,Same,0
2/18/2015,938.590027,948.380005,938.02002,940.409973,940.409973,2015469700,Profit,0.193902124
2/20/2015,942.690002,948.51001,941.109985,941.109985,941.109985,1245847300,Loss,0.167607272
2/23/2015,942.130005,942.130005,942.130005,942.130005,942.130005,0,Same,0
2/24/2015,944.460022,944.460022,944.460022,944.460022,944.460022,0,Same,0
2/25/2015,950.830017,950.830017,950.830017,950.830017,950.830017,0,Same,0
2/26/2015,951.090027,951.090027,951.090027,951.090027,951.090027,0,Same,0
2/27/2015,951.169983,952.469971,946.880005,946.880005,946.880005,1046592000,Loss,0.451021171
3/2/2015,953.690002,953.690002,953.690002,953.690002,953.690002,0,Same,0
3/3/2015,953.109985,953.109985,953.109985,953.109985,953.109985,0,Same,0
3/4/2015,946.51001,946.51001,946.51001,946.51001,946.51001,0,Same,0
3/5/2015,946.570007,946.570007,946.570007,946.570007,946.570007,0,Same,0
3/6/2015,950.669983,960.780029,948.960022,960.780029,960.780029,1324021900,Profit,1.063465365
3/9/2015,952.960022,953.169983,942.890015,946.549988,946.549988,1094613300,Loss,0.672644587
3/10/2015,944.650024,952.359985,937.900024,949.400024,949.400024,1169716200,Profit,0.502831724
3/11/2015,943.179993,945.820007,938.950012,941.51001,941.51001,1649304400,Loss,0.177058781
3/12/2015,941.169983,948.650024,940.929993,945.049988,945.049988,997894700,Profit,0.412253373
3/13/2015,949.630005,950.419983,940.909973,942.349976,942.349976,973531900,Loss,0.766617415
3/16/2015,939.570007,949.080017,939.48999,945.52002,945.52002,753363200,Profit,0.633269789
3/17/2015,949.960022,951.630005,944.359985,944.98999,944.98999,1130058100,Loss,0.52318328
3/18/2015,941.619995,943.919983,940.669983,940.669983,940.669983,1045746900,Loss,0.100891231
3/19/2015,948.72998,950.900024,947.090027,949.73999,949.73999,1385963100,Profit,0.106459163
3/20/2015,944.5,950.23999,942.299988,946.859985,946.859985,1387941900,Profit,0.249866067
3/23/2015,950.099976,952.409973,947,947,947,850958200,Loss,0.326278926
3/24/2015,947.880005,950.830017,945.969971,947.820007,947.820007,955296500,Loss,0.006329704
3/25/2015,945.299988,946.049988,938.25,939.369995,939.369995,1083593700,Loss,0.627313348
3/26/2015,933.159973,941.900024,930.820007,932.01001,932.01001,1189702300,Loss,0.123233211
3/27/2015,927.940002,938.909973,927.159973,937.51001,937.51001,848375500,Profit,1.03131754
3/30/2015,942.190002,953.419983,941.450012,946.460022,946.460022,947031100,Profit,0.453201583
3/31/2015,959.75,962.719971,956.380005,961.940002,961.940002,1326725600,Profit,0.228184631
4/1/2015,961.460022,964.150024,949.02002,951.799988,951.799988,949382700,Loss,1.004725499
4/2/2015,955.179993,957.22998,944.77002,949.219971,949.219971,1118253700,Loss,0.623968471
4/6/2015,952.090027,956.429993,951.539978,953.820007,953.820007,681299900,Profit,0.181703405
