Date,Open,High,Low,Close,Adj Close,Volume,PnL,% Change
4/6/2015,39075,39575,39075,39300,36383.85156,375200,Profit,0.575815739
4/7/2015,39300,39900,39300,39800,36846.75,1432200,Profit,1.272264631
4/8/2015,39825,39875,38675,38700,35828.37109,2800300,Loss,2.824858757
4/9/2015,38750,39350,38750,39350,36430.13672,1584000,Profit,1.548387097
4/10/2015,39500,39500,39300,39400,36476.42969,1134200,Loss,0.253164557
4/13/2015,39775,39775,39000,39775,36823.60547,1309900,Same,0
4/14/2015,39775,39775,38500,38750,35874.66406,2352700,Loss,2.5769956
4/15/2015,39200,39200,38300,38625,35758.93359,1601500,Loss,1.466836735
4/16/2015,38625,38925,37675,38100,35272.89453,3174200,Loss,1.359223301
4/17/2015,38250,38650,38125,38125,35296.03516,1193800,Loss,0.326797386
4/20/2015,38400,38625,38275,38400,35550.63672,1225900,Same,0
4/21/2015,38700,40000,38675,40000,37031.90625,2415400,Profit,3.359173127
4/22/2015,40000,41075,39200,40350,37355.93359,3475600,Profit,0.875
4/23/2015,40525,42500,40450,41750,38652.05469,2926800,Profit,3.022825416
4/24/2015,43000,43425,42500,43000,39809.30078,2003000,Same,0
4/27/2015,40300,43000,40300,42075,38952.94141,2170000,Profit,4.404466501
4/28/2015,42075,44500,41225,44500,41198,2020400,Profit,5.763517528
4/29/2015,44500,44500,39600,42250,39114.95703,4907400,Loss,5.056179775
4/30/2015,41500,44100,40500,42600,39438.97656,4228100,Profit,2.65060241
5/4/2015,42600,44100,42600,43000,39809.30078,1383700,Profit,0.938967136
5/5/2015,43100,44300,43100,44175,40897.11328,2123000,Profit,2.494199536
5/6/2015,43300,46000,43300,45175,41822.91406,2621600,Profit,4.330254042
5/7/2015,45175,45500,43400,43400,40179.62109,1769600,Loss,3.929164361
5/8/2015,44500,44800,44000,44000,40735.09766,1773700,Loss,1.123595506
5/11/2015,44100,44450,43575,43650,40411.07031,538600,Loss,1.020408163
5/12/2015,43900,43900,42500,42500,39346.40234,1740200,Loss,3.189066059
5/13/2015,43500,43500,42300,42300,39161.24609,1547800,Loss,2.75862069
5/15/2015,42150,43750,42150,43500,40272.20313,1540300,Profit,3.202846975
5/18/2015,43550,43875,43150,43850,40596.23047,782600,Profit,0.688863375
5/19/2015,43800,43950,43150,43850,40596.23047,1799000,Profit,0.114155251
5/20/2015,43850,43850,43350,43350,40133.33203,1197100,Loss,1.140250855
5/21/2015,43425,43775,42725,42850,39670.4375,1290500,Loss,1.32412205
5/22/2015,43500,43900,43000,43775,40526.79688,1897500,Profit,0.632183908
5/25/2015,43775,44550,43775,44400,41105.42578,1389800,Profit,1.427755568
5/26/2015,44250,46000,44125,45725,42332.10156,2922700,Profit,3.333333333
5/27/2015,45725,45775,44350,44500,41198,1574700,Loss,2.679059595
5/28/2015,44950,45125,44575,44950,41614.60547,4047400,Same,0
5/29/2015,44750,45400,43300,43300,40087.04297,4156600,Loss,3.240223464
6/1/2015,43500,43700,43000,43200,39994.46094,1022700,Loss,0.689655172
6/3/2015,43300,43675,42500,43600,40364.78125,1879500,Profit,0.692840647
6/4/2015,43150,43575,42650,42650,39485.27344,2597500,Loss,1.158748552
6/5/2015,42500,42600,42000,42150,39022.375,1779400,Loss,0.823529412
6/8/2015,42100,42150,40900,41550,38466.89453,2599800,Loss,1.306413302
6/9/2015,41550,41550,39500,39700,36754.16406,3370700,Loss,4.452466907
6/10/2015,39700,41575,39700,41350,38281.73828,2088000,Profit,4.156171285
6/11/2015,41500,41950,40400,40650,37633.67578,2320000,Loss,2.048192771
6/12/2015,40800,41700,40800,41225,38166.01172,747200,Profit,1.041666667
6/15/2015,40900,41150,40300,40300,37309.64453,1217300,Loss,1.466992665
6/16/2015,40000,40725,40000,40000,37418.16406,1056200,Same,0
6/17/2015,40400,41175,40400,40925,38283.45313,1317700,Profit,1.29950495
6/18/2015,40925,41575,40925,41500,38821.34375,1469000,Profit,1.405009163
6/19/2015,41500,42000,41450,41450,38774.56641,1693500,Loss,0.120481928
6/22/2015,41700,41700,41025,41550,38868.11328,855800,Loss,0.35971223
6/23/2015,41550,42125,40500,40500,37885.88281,1260800,Loss,2.527075812
6/24/2015,41275,41400,41200,41400,38727.80078,1506600,Profit,0.30284676
6/25/2015,41400,41475,40775,40775,38143.13281,1446000,Loss,1.509661836
6/26/2015,40800,41100,39300,40000,37418.16406,3001300,Loss,1.960784314
6/29/2015,40000,40000,39300,39625,37067.36328,1946600,Loss,0.9375
6/30/2015,39625,40975,39500,39500,36950.43359,2744600,Loss,0.315457413
7/1/2015,39900,40450,39800,40000,37418.16406,1035100,Profit,0.250626566
7/2/2015,40050,40975,40050,40325,37722.18359,1437000,Profit,0.686641698
7/3/2015,40325,41375,40300,41375,38704.41016,813300,Profit,2.603843769
7/6/2015,40850,41300,40500,40500,37885.88281,666300,Loss,0.856793146
7/7/2015,40600,40775,39850,40250,37652.02344,1715600,Loss,0.862068966
7/8/2015,41200,41200,40100,40700,38072.97656,1622500,Loss,1.213592233
7/9/2015,40325,40425,39875,40100,37511.70703,1965400,Loss,0.557966522
7/10/2015,40500,40500,40125,40200,37605.25,1225800,Loss,0.740740741
7/13/2015,40000,41000,40000,40350,37745.56641,1004000,Profit,0.875
7/14/2015,40450,40650,39925,40000,37418.16406,1293100,Loss,1.112484549
7/15/2015,40100,40375,40000,40225,37628.63672,1478900,Profit,0.311720698
7/22/2015,40300,40375,39900,40025,37441.54688,2140100,Loss,0.682382134
7/23/2015,40100,40150,39975,40150,37558.48047,2680900,Profit,0.124688279
7/24/2015,40150,40375,39875,39975,37394.77344,1467800,Loss,0.435865504
7/27/2015,39850,40000,39650,39750,37184.29297,1733500,Loss,0.250941029
