time,open,high,low,close,Volume,Volume MA
2019-12-09T02:00:00Z,4080,4110,4050,4070,80864200,97789290
2019-12-10T02:00:00Z,4050,4070,4010,4040,54824900,96117980
2019-12-11T02:00:00Z,4010,4050,4000,4050,79749500,95509170
2019-12-12T02:00:00Z,4040,4050,3950,3950,147627000,96717095
2019-12-13T02:00:00Z,4000,4020,3960,3990,81937300,98274935
2019-12-16T02:00:00Z,3970,4020,3960,3970,86479200,97349960
2019-12-17T02:00:00Z,3970,3990,3950,3980,91747200,96237490
2019-12-18T02:00:00Z,3960,4000,3950,3990,101569300,93856680
2019-12-19T02:00:00Z,3970,3980,3900,3900,127316000,97022185
2019-12-20T02:00:00Z,3900,4020,3900,4020,152132200,100800325
2019-12-23T02:00:00Z,4020,4030,3980,4020,58715700,98357050
2019-12-26T02:00:00Z,4020,4020,3980,4000,36935300,86153685
2019-12-27T02:00:00Z,3990,4010,3980,3990,52812000,83918720
2019-12-30T02:00:00Z,3980,4030,3970,3970,67738300,83773885
2020-01-02T02:00:00Z,3970,4000,3900,3910,52094000,82771240
2020-01-03T02:00:00Z,3960,3980,3930,3980,70032900,82559710
2020-01-06T02:00:00Z,3930,3970,3930,3960,42908900,80980455
2020-01-07T02:00:00Z,3930,3970,3920,3940,51837600,80324920
2020-01-08T02:00:00Z,3920,3950,3900,3900,52402600,77020310
2020-01-09T02:00:00Z,3920,3970,3920,3960,37580300,76365220
2020-01-10T02:00:00Z,3980,3990,3950,3980,48099000,74726960
2020-01-13T02:00:00Z,4000,4030,3990,4030,61913800,75081405
2020-01-14T02:00:00Z,3980,4000,3940,3950,95058600,75846860
2020-01-15T02:00:00Z,3960,3960,3870,3880,147583300,75844675
2020-01-16T02:00:00Z,3890,3890,3830,3850,118903100,77692965
2020-01-17T02:00:00Z,3860,3870,3800,3810,119904100,79364210
2020-01-20T02:00:00Z,3820,3840,3800,3810,73599200,78456810
2020-01-21T02:00:00Z,3810,3900,3810,3890,78014400,77279065
2020-01-22T02:00:00Z,3890,3890,3850,3860,45839800,73205255
2020-01-23T02:00:00Z,3860,3880,3830,3880,41077400,67652515
2020-01-24T02:00:00Z,3880,3930,3860,3920,58524000,67642930
2020-01-27T02:00:00Z,3920,3920,3830,3840,33081800,67450255
2020-01-28T02:00:00Z,3810,3840,3800,3830,56210000,67620155
2020-01-29T02:00:00Z,3840,3900,3840,3900,51929800,66829730
2020-01-30T02:00:00Z,3910,3910,3850,3860,60391600,67244610
2020-01-31T02:00:00Z,3890,3890,3780,3800,120447900,69765360
2020-02-03T02:00:00Z,3800,3820,3730,3740,68360600,71037945
2020-02-04T02:00:00Z,3810,3810,3730,3760,77259600,72309045
2020-02-05T02:00:00Z,3760,3780,3720,3770,68150800,73096455
2020-02-06T02:00:00Z,3800,3800,3750,3760,56261500,74030515
2020-02-07T02:00:00Z,3780,3820,3760,3790,53578900,74304510
2020-02-10T02:00:00Z,3800,3850,3780,3810,86588500,75538245
2020-02-11T02:00:00Z,3810,3830,3780,3790,50248200,73297725
2020-02-12T02:00:00Z,3800,3850,3780,3820,73840300,69610575
2020-02-13T02:00:00Z,3820,3830,3710,3730,66699800,67000410
2020-02-14T02:00:00Z,3680,3730,3640,3640,108793300,66444870
2020-02-17T02:00:00Z,3630,3660,3590,3610,94887800,67509300
2020-02-18T02:00:00Z,3590,3660,3590,3620,94382900,68327725
2020-02-19T02:00:00Z,3620,3640,3590,3620,63717800,69221625
2020-02-20T02:00:00Z,3620,3650,3600,3630,53035400,69819525
2020-02-21T02:00:00Z,3650,3710,3640,3690,86862600,71236455
2020-02-24T02:00:00Z,3670,3720,3630,3640,72610600,73212895
2020-02-25T02:00:00Z,3600,3670,3590,3590,73990700,74101930
2020-02-26T02:00:00Z,3530,3550,3450,3510,133449900,78177935
2020-02-27T02:00:00Z,3510,3550,3420,3470,88389400,79577825
2020-02-28T02:00:00Z,3390,3490,3340,3490,151751800,81143020
2020-03-02T02:00:00Z,3470,3550,3440,3440,96802900,82565135
2020-03-03T02:00:00Z,3510,3660,3470,3620,114698200,84437065
2020-03-04T02:00:00Z,3640,3840,3630,3830,136081000,87833575
2020-03-05T02:00:00Z,3820,3880,3760,3830,101235000,90082250
